92路 公交车, 开班时间 07：00, 收班时间 19：00, 依次经过的站点如下： 返回上页 
 站名 同站换乘 
桂溪公交站	49路　55路　6路　110路　111路　112路  
成都航校	51路　110路　112路　114路　79路  
二环路南二段	
神仙树路口	51路　85路  
神仙树北路	
神仙树西路	111路  
九兴中路	
高新路	100路  
佳灵路	100路  
红牌楼	51路　45路　52路　53路　53路区间　10路　93路　96路　111路　100路　84路  
武侯大道	100路  
双丰路	53路　90路　72路  
太平村	53路　90路　72路  
小心桥	90路　303B路  
顺江路	77路  
西区大道	 
金履路南	 
金履中路  
金履路北口  
金花镇	10路
