89路 公交车, 开班时间 07：00, 收班时间 19：00, 依次经过的站点如下： 返回上页 
 站名 同站换乘 
西南交大	52路　56路　48路　11路　3路　59路　94路　87路　69路  
交大路西	56路　3路　106路　94路　109路  
香榭里	56路　94路　109路  
金府路口	
长久村	44路  
跃进村	98路　111路　100路  
金牛宾馆	43路　98路  
土桥	43路  
朗家小区	
金卉路南口	
高家村	54路　54路区间　96路  
黄金路北口	
清水四队	
清水六队	
黄金路南口	
清江路	59路　64路  
黄土村	
中坝村四队	
中坝村六队	
红碾村	
乐平六队	
文家场	
