4路 公交车, 开班时间 07：00, 收班时间 19：00, 依次经过的站点如下： 返回上页 
 站名 同站换乘 
五桂桥	49路　58路　2路　33路　71路　81路  
塔子山公园	49路　58路　2路　71路　81路  
双桥子	51路　49路　58路　20路　106路　91路　114路　75路　65路　71路　81路  
东风路	 
总府路	58路　98路  
人民西路	58路　81路  
羊市街	54路　54路区间　57路　5路　5路区间　64路  
八宝街	56路　57路　48路　93路　98路　75路　62路　64路  
花牌坊	98路  
西门车站	34路　43路　56路　11路　27路　98路　62路　63路　70路  
营门口	43路  
茶店子	43路　44路　98路　111路　100路　63路  
茶店子客运站	75路 
