2路 公交车, 开班时间 05：45, 收班时间 21：30, 依次经过的站点如下：
站名	同站换乘 
火车北站	34路　36路　44路　28路　52路　54路　54路区间　55路　57路　11路　16路　24路　27路　9路　99路　303路　64路　65路　69路　80路　83路　85路  
荷花池	36路　57路　16路　27路　9路　99路　86路　303路　65路　69路　73路　80路　83路　85路  
高笋塘	36路　1路　9路　86路　108路　302路　65路　69路　73路　60路　80路　83路　85路  
二环路东一段	76路  
建设路	61路　75路  
二环路东二段	85路  
万年场	5路　5路区间　33路　20路　91路　98路　301路　80路　85路  
双林路	51路　75路  
塔子山公园	49路　58路　4路　71路　81路  
五桂桥	49路　58路　4路　33路　71路　81路  
