71路 公交车, 开班时间 06：30, 收班时间 20：00, 依次经过的站点如下： 返回上页 
 站名 同站换乘 
青龙场中心站	1路　7路区间　302路　63路　69路　70路　83路  
昭觉横路	7路区间　70路　60路  
府青路	36路  
八里庄	36路  
二仙桥西路	
文德路	
新风路东	7路　86路　76路  
双建路	113路  
建设路北三段	
厂北路口	25路　114路　76路  
建设路东	6路　114路　76路  
建设路中	61路　114路　76路  
建设南新路	114路　75路  
新华公园	8路　33路　61路　114路　301路　75路　65路　80路  
双林北支路	114路　65路  
双桥子	51路　49路　58路　4路　20路　106路　91路　114路　75路　65路　81路  
塔子山公园	49路　58路　2路　4路　81路  
五桂桥	49路　58路　2路　4路　33路　81路
