33路 公交车, 开班时间 06：30, 收班时间 20：00, 依次经过的站点如下： 返回上页 
 站名 同站换乘 
五桂桥	49路　58路　2路　4路　71路　81路  
五桂路	
建材路	98路  
成都玻璃厂	
三砖厂	
双庆路口	112路  
万年场	2路　5路　5路区间　20路　91路　98路　301路　80路　85路  
双林中横路	91路　114路  
新华公园	8路　61路　114路　301路　75路　65路　71路　80路  
新鸿路口	114路　60路　72路  
猛追湾街	6路  
建设路口	60路　76路　72路  
游乐园	42路　45路　28路　7路　7路区间　61路　75路　65路　60路　72路  
曹家巷	28路　65路　73路  
