91路 公交车, 开班时间 06：30, 收班时间 19：00, 依次经过的站点如下： 返回上页 
 站名 同站换乘 
理工学院	8路  
关家堰村	
沙板桥	
麻石桥	8路　85路  
二环路东三段	85路  
万年场	2路　5路　5路区间　33路　20路　98路　301路　80路　85路  
双林中横路	33路　114路  
双桥子	51路　49路　58路　4路　20路　106路　114路　75路　65路　71路　81路  
牛市口	51路　38路　47路　49路　20路　106路　112路　65路　68路  
海椒市	51路　38路　106路　114路　75路  
莲花小区	38路　106路　112路　114路　75路　68路  
二环路东五路	
东光小区	31路　75路　68路　77路  
沙河大桥	31路　68路　77路　79路  
红砖桥	31路　68路  
琉三路口	68路  
包江桥	68路  
高河坎	
莲花村	
百马路口	
仁和村	
石羊场中心站	61路　94路　100路　84路　85路
