82路 公交车, 开班时间 06：30, 收班时间 20：00, 依次经过的站点如下： 返回上页 
 站名 同站换乘 
黄忠小区	44路　96路　111路　79路　83路  
同和路口	54路　54路区间　96路　79路  
蜀汉小区	79路  
瑞西小区	 
府南新区	62路　64路　79路  
新成温路口	52路　100路　303B路　64路　69路　79路　83路  
公交集团公司	17路　110路　84路  
青华路西	17路　84路  
草堂寺	35路　17路　19路　78路　84路  
送仙桥	35路　17路　19路　301路　63路　78路　84路  
青羊宫	34路　35路　42路　58路　11路　17路　19路　27路　59路　109路　301路　63路　70路　78路　84路  
百花中心站	34路　58路　11路　5路　17路　19路　25路　27路　59路　301路　302路　84路  
一环路西一段	42路　59路　302路　84路  
高升桥	34路　53路　53路区间　57路　11路　8路　10路　19路　26路　27路　59路　110路　301路　302路　77路　79路　84路　72路  
武侯祠	1路　53路　53路区间　57路　8路　10路　59路　301路　302路  
南郊路	 
浆洗街	28路　94路  
国学巷	28路　110路  
医学院	
滨江路	35路　28路　301路  
新南门	35路　49路　28路　55路　6路　8路　301路　76路  
合江亭	301路　76路  
九眼桥	34路　35路　49路　56路　3路　31路　19路　27路　62路　65路　60路　77路　72路  
空军医院	31路  
望江公园	35路　19路  
成仁路口	31路　75路　68路
