1路公交车,开班时间06：00,收班时间21：30,依次经过的站点如下：
站名	同站换乘
青龙场中心站	7路区间　302路　63路　69路　70路　71路　83路
高笋塘	36路　2路　9路　86路　108路　302路　65路　69路　73路　60路　80路　83路　85路
梁家巷	34路　42路　28路　27路　113路　302路　80路
北大街	106路　302路　80路
成都旅馆	3路　5路　5路区间
盐市口	43路　55路　56路　48路
南大街
武侯祠	53路　53路区间　57路　8路　10路　59路　301路　302路　82路
滨江西路	
锦江宾馆	45路　16路　99路　303路　78路
人民南路	
解放一段	
青龙场中心站	7路区间　302路　63路　69路　70路　71路　83路
