94路 公交车, 开班时间 06：00, 收班时间 20：00, 依次经过的站点如下： 返回上页 
 站名 同站换乘 
九里堤公交站	106路　93路  
香榭里	56路　109路　89路  
交大路西	56路　3路　106路　109路　89路  
西南交大	52路　56路　48路　11路　3路　59路　87路　69路　89路  
营门口立交桥	52路　48路　11路　59路　98路　113路　62路　69路　83路  
二环路西延线北口	
颐园小区	
抚琴路西	
一环路口	54路　54路区间　303路  
永陵路口	54路　54路区间　109路　302路  
长顺街	
小南街	
锦里中路	93路　109路　302路  
通祠路	26路　109路　302路  
浆洗街	28路　82路  
洗面桥	28路  
衣冠庙	34路　45路　28路　11路　19路　27路　59路　109路　77路　78路　72路  
新蓉路	
紫荆树路	
高棚子	28路　114路　78路　84路　85路  
石羊场中心站	61路　91路　100路　84路　85路  
