84路 公交车, 开班时间 06：30, 收班时间 20：00, 依次经过的站点如下： 返回上页 
 站名 同站换乘 
石羊场中心站	61路　91路　94路　100路　85路  
高棚子	28路　94路　114路　78路　85路  
紫荆树	85路  
永丰路立交桥	
肖家河	51路　45路  
肖家河小区	79路  
红牌楼	51路　45路　52路　53路　53路区间　10路　92路　93路　96路　111路　100路  
高升桥	34路　53路　53路区间　57路　11路　8路　10路　19路　26路　27路　59路　110路　301路　302路　77路　79路　82路　72路  
一环路西一段	42路　59路　302路　82路  
百花中心站	34路　58路　11路　5路　17路　19路　25路　27路　59路　301路　302路　82路  
青羊宫	34路　35路　42路　58路　11路　17路　19路　27路　59路　109路　301路　63路　70路　78路　82路  
送仙桥	35路　17路　19路　301路　63路　78路　82路  
草堂寺	35路　17路　19路　78路　82路  
青华路西	17路　82路  
公交集团公司	17路　110路　82路  
铁门坎	13路　17路　96路　110路　111路　113路　69路　77路　78路　81路  
金沙车站	35路　47路　13路　17路　19路　96路　110路　111路　113路　303B路　62路　69路　77路　78路　81路  
谢家祠	5路区间　13路  
清江五组	
苏坡中路	
苏坡桥	17路
