45路 公交车, 开班时间 06：30, 收班时间 21：00, 依次经过的站点如下： 返回上页 
 站名 同站换乘 
双楠小区	51路　42路　8路　90路　93路　79路　72路  
红牌楼	51路　52路　53路　53路区间　10路　92路　93路　96路　111路　100路　84路  
二环路南四段	93路  
肖家河	51路　84路  
新容小区	
一环路南四段	
衣冠庙	34路　28路　11路　19路　27路　59路　94路　109路　77路　78路　72路  
人民南路三段	
锦江宾馆	1路　16路　99路　303路　78路  
 红照壁	16路　26路　61路　99路　78路  
天府广场	38路　43路　47路　16路　26路　61路　98路　99路　303路  
文化宫	3路　7路　7路区间　73路  
太升南路	
太升北路	73路  
内曹家巷	
游乐园	42路　28路　7路　7路区间　33路　61路　75路　65路　60路　72路  
