100路 公交车, 开班时间 06：30, 收班时间 20：00, 依次经过的站点如下： 返回上页 
 站名 同站换乘 
金卉路中	111路  
金卉路中站	
跃进村	98路　111路　89路  
茶店子	43路　44路　4路　98路　111路　63路  
五里村	98路　63路  
营康路	
同善路	
双清北路	
双清中路	
青羊大道口	
新成温路口	52路　303B路　64路　69路　79路　82路　83路  
光华村	
青华路	301路  
清水河	8路　96路　110路　79路  
武侯大道	92路  
红牌楼	51路　45路　52路　53路　53路区间　10路　92路　93路　96路　111路　84路  
佳灵路	92路  
高新路	92路  
九兴大道中	
九兴大道南口	
殷家林村	85路  
石羊场中心站	61路　91路　94路　84路　85路
